name,new_id,country,chef,country_id
Josh Marks,386,USA,1,41
Blue Ribbon Restaurants,473,USA,0,41
Pat Neely,1,USA,1,41
La Griglia,542,Italy,0,21
Jose Garces,189,Ecuador,1,8
Zac Kara,454,USA,1,41
Big Fish Seafood Bistro,158,Hungary,0,17
Tom Aikens,248,England,1,10
The Habit Burger Grill,537,USA,0,41
Chef Sheldon Simeon,293,USA,1,41
Ochikeron,171,Japan,0,22
Taco Bell,485,USA,0,41
Christophe Michalak,258,France,1,13
Peohe's,534,USA,0,41
Destino Ibiza,500,Spain,0,36
Chef Shirley Chung,34,USA,1,41
Doug Adams,465,USA,1,41
Angel Leon Gonzalez,511,Spain,1,36
Ben Ebbrell - Sorted Chef,201,England,1,10
Dick's Drive In Restaurant,188,USA,0,41
John Whaite,440,England,1,10
Andy Luotto,484,Italy,1,21
Antonino Cannavacciuolo,240,Italy,1,21
Charley's Crab,533,USA,0,41
Anne-Sophie Pic,235,France,1,13
Hilah Cooking,82,USA,0,41
Chef Robert Irvine,35,England,1,10
Nutella Cafe Chicago,19,USA,0,41
Grand Concourse,154,USA,0,41
Chef Lorena Garcia,148,Venezuela,1,43
James Martin,599,England,1,10
Nando's,230,South Africa,0,34
Roy Yamaguchi,7,Japan,1,22
Susan Feniger,576,USA,1,41
Al Brown New Zealand Chef,594,New Zealand,1,28
Veggie Grill,396,USA,0,41
Franklin Becker,160,USA,1,41
Éric Frechon,61,France,1,13
The Edgy Veg,409,Canada,0,4
Zoёs Kitchen,211,USA,0,41
Chef Mark Garcia,434,USA,1,41
Chef Claudia's Cocina,309,Mexico,1,26
Alex Guarnaschelli,56,Israel,1,20
Alex Guarnaschelli,56,USA,1,41
Hari Ghotra,138,India,1,18
Vicky Ratnani,202,India,1,18
Boston Market,14,USA,0,41
Bobby's Burger Palace,246,USA,0,41
Chef Guy Martin,462,France,1,13
Pablo Massey,290,Argentina,1,0
McDonald's,518,USA,0,41
Michael White,355,USA,0,41
Lillie's Asian Cuisine,33,Japan,0,22
Aquarium Restaurant - Nashville,496,USA,0,41
Manu Feildel,62,France,1,13
Camille Becerra,325,USA,1,41
Whataburger,153,USA,0,41
Big Fernand,10,France,1,13
Karlos Arguiñano,460,Spain,1,36
Karen Martini,282,Australia,1,1
Ogro Jimmy,567,Brazil,1,3
Chili's Tunisie,304,Tunisia,0,40
Carrabba's Italian Grill,339,Italy,0,21
Susur Lee,320,Canada,1,4
Cook with Chef Duminda,464,Australia,1,1
Roblé,156,USA,1,41
Brooke Williamson,155,USA,1,41
René Redzepi,505,Denmark,1,7
Cadillac Bar Kemah,209,USA,0,41
Fast Ed,236,Australia,1,1
Cesare Casella,324,Italy,1,21
Gandy Dancer Saloon/Oyster Bar,78,USA,0,41
Hardee's,226,USA,0,41
Peter Kuruvita,433,Australia,1,1
Chef Francois Payard,170,France,1,13
PROPERCORN,468,USA,0,41
Marc Veyrat,472,France,1,13
Simon Bryant,392,Australia,1,1
Massimo Mele,193,Italy,1,21
Chef Sam Talbot,544,USA,1,41
José Andrés,9,Spain,1,36
Opry City Stage,308,USA,0,41
Cucina by Wolfgang Puck,370,USA,0,41
Iginio Massari,344,Italy,1,21
Thomas Keller,588,USA,1,41
Emma Frisch,463,USA,1,41
El Torito,215,Mexico,0,26
Chef Marc Murphy,601,USA,1,41
Dina Nikolaou,481,Greece,1,15
Acapulco,204,USA,0,41
Pollo Campero,606,El Salvador,0,9
Michael Lomonaco,366,USA,1,41
The Tuscan Gun,322,USA,0,41
Burger Lounge,379,USA,0,41
Pasqualino Barbasso,608,Italy,1,21
Jumia Food,429,Nigeria,0,29
Alfred Portale,242,USA,1,41
Magnum,416,England,0,10
Alberto Chicote,337,Spain,1,36
Lee Anne Wong,0,USA,1,41
Paul Qui,207,USA,1,41
"Subway, Cayman Islands",234,USA,0,41
